SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning;Sample_Type;ExploreVersion
CONTROL_SAMPLE_P1_B12;24;OID20260;P48960;ADGRE5;0;Cardiometabolic;B04405;P1;PASS;-7.8263;-0.6662;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21120;Q5T2D2;TREML2;0;Neurology;B04406;P1;PASS;-9.1896;-3.4419;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20671;P78556;CCL20;0;Inflammation;B04403;P1;PASS;-9.5499;-2.3256;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30846;Q687X5;STEAP4;0;Neurology_II;B13806;P1;PASS;-5.3777;-4.5807;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21179;Q9H4P4;RNF41;0;Oncology;B04404;P1;PASS;-4.5277;-2.0094;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30566;P06213;INSR;0.0114;Inflammation_II;B13803;P1;PASS;-1.4283;-1.08;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30743;P08185;SERPINA6;0;Inflammation_II;B13803;P1;PASS;-3.858;-3.3841;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31349;Q9UHY7;ENOPH1;0.8864;Oncology_II;B13804;P1;PASS;-4.9366;-6.0682;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31219;P23771;GATA3;0.7727;Oncology_II;B13804;P1;WARN;-3.6809;-3.2858;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21220;O60907;TBL1X;0.0795;Oncology;B04404;P1;PASS;-4.0599;-3.5604;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20720;O43291;SPINT2;0;Inflammation;B04403;P1;PASS;-4.3598;-1.0033;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20630;P50452;SERPINB8;0;Inflammation;B04403;P1;PASS;-4.4693;-1.2258;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30437;P43378;PTPN9;0.8977;Inflammation_II;B13803;P1;WARN;-3.6059;-4.0123;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31350;Q96NB3;ZNF830;0.7614;Oncology_II;B13804;P1;PASS;-2.7765;-2.0698;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31131;Q9UBC9;SPRR3;0;Neurology_II;B13806;P1;WARN;-12.8416;-6.5956;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31138;P11137;MAP2;0.4432;Neurology_II;B13806;P1;PASS;-3.4285;-3;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20458;O95715;CXCL14;0.0795;Inflammation;B04403;P1;PASS;-2.5967;-1.8902;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31449;P11387;TOP1;0;Oncology_II;B13804;P1;PASS;-3.6004;-1.5627;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21446;Q9NS68;TNFRSF19;0;Oncology;B04404;P1;PASS;-7.6456;-1.059;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31115;Q9NPE2;NGRN;0.9886;Neurology_II;B13806;P1;PASS;-2.1457;-3.0913;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30304;O75223;GGCT;0.0909;Cardiometabolic_II;B13805;P1;PASS;-6.5027;-6.4947;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30468;Q04837;SSBP1;0.6023;Inflammation_II;B13803;P1;PASS;-3.7592;-3.3466;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31211;Q03111;MLLT1;0.3068;Oncology_II;B13804;P1;PASS;-5.4358;-4.9273;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20565;Q01151;CD83;0;Inflammation;B04403;P1;PASS;-7.1515;-1.6969;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31459;Q16819;MEP1A;0;Oncology_II;B13804;P1;PASS;-6.694;-2.9212;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21151;Q9Y624;F11R;0;Neurology;B04406;P1;PASS;-7.6688;-1.6448;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30257;Q6ZRY4;RBPMS2;0;Cardiometabolic_II;B13805;P1;PASS;-4.6615;-2.1851;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20302;P15907;ST6GAL1;0;Cardiometabolic;B04405;P1;PASS;-8.1589;-1.3994;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30117;Q6NZY4;ZCCHC8;0.0568;Cardiometabolic_II;B13805;P1;PASS;-5.18;-4.497;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20243;P33151;CDH5;0;Cardiometabolic;B04405;P1;PASS;-6.1622;-1.3932;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30220;Q14457;BECN1;0.0795;Cardiometabolic_II;B13805;P1;PASS;-3.0431;-2.1185;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30383;Q9Y2Y8;PRG3;0;Cardiometabolic_II;B13805;P1;PASS;-6.098;-3.2016;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30115;Q8N8E3;CEP112;0;Cardiometabolic_II;B13805;P1;PASS;-3.4637;-2.8967;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30300;P08138;NGFR;0.7955;Cardiometabolic_II;B13805;P1;PASS;-6.0676;-6.4033;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20799;P53985;SLC16A1;0;Neurology;B04406;P1;PASS;-4.5742;-3.1706;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31075;Q86VP1;TAX1BP1;0;Neurology_II;B13806;P1;PASS;-6.0974;-4.6781;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21135;Q16881;TXNRD1;0;Neurology;B04406;P1;PASS;-6.275;-3.8934;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30165;O94766;B3GAT3;0.2841;Cardiometabolic_II;B13805;P1;PASS;-2.9154;-2.6818;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31236;P49756;RBM25;0.8182;Oncology_II;B13804;P1;PASS;-4.158;-4.0086;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30796;O76039;CDKL5;0.4432;Neurology_II;B13806;P1;PASS;-1.5573;-2.3905;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31253;Q9H0R8;GABARAPL1;0.9545;Oncology_II;B13804;P1;PASS;-3.5673;-3.8307;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20512;P30838;ALDH3A1;0;Inflammation;B04403;P1;PASS;-4.3379;-2.2858;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21442;Q16595;FXN;0;Oncology;B04404;P1;PASS;-5.56;-4.115;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31365;P56851;EDDM3B;0;Oncology_II;B13804;P1;PASS;-7.2714;-6.0948;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20859;Q9Y2V2;CARHSP1;0;Neurology;B04406;P1;PASS;-5.8702;-4.8639;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20237;P07911;UMOD;0;Cardiometabolic;B04405;P1;PASS;-6.5024;-0.5637;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21307;P08473;MME;0;Oncology;B04404;P1;PASS;-4.9076;-0.5162;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20963;P22079;LPO;0;Neurology;B04406;P1;PASS;-5.3144;-0.6785;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20645;P00813;ADA;0;Inflammation;B04403;P1;PASS;-8.248;-1.6526;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30891;Q9BV20;MRI1;0.0114;Neurology_II;B13806;P1;PASS;-4.5147;-3.1963;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30191;O75427;LRCH4;0;Cardiometabolic_II;B13805;P1;PASS;-6.498;-2.3572;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31052;P31751;AKT2;0;Neurology_II;B13806;P1;PASS;-8.1532;-7.0246;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20355;P18428;LBP;0;Cardiometabolic;B04405;P1;PASS;-9.4355;-4.8778;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31345;O43663;PRC1;0.3068;Oncology_II;B13804;P1;PASS;-6.6554;-6.682;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20668;P51671;CCL11;0;Inflammation;B04403;P1;PASS;-9.2482;0.2531;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21335;P55039;DRG2;0.6477;Oncology;B04404;P1;PASS;-3.4571;-4.1354;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21016;Q9NP79;VTA1;0;Neurology;B04406;P1;PASS;-7.9012;-3.8053;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30609;O43399;TPD52L2;0;Inflammation_II;B13803;P1;PASS;-4.1828;-0.4558;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30198;Q8NFP7;NUDT10;0.8636;Cardiometabolic_II;B13805;P1;PASS;0.7234;0.435;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31016;Q15714;TSC22D1;0.0909;Neurology_II;B13806;P1;PASS;-6.741;-6.1277;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20389;Q16853;AOC3;0;Cardiometabolic;B04405;P1;WARN;-4.3369;0.4477;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20058;O95988;TCL1B;0.4773;Cardiometabolic;B04405;P1;PASS;-4.1319;-3.9667;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21492;Q9H8J5;MANSC1;0;Oncology;B04404;P1;PASS;-6.2332;-1.5209;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20752;Q99895;CTRC;0;Inflammation;B04403;P1;PASS;-7.5426;-0.0783;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31224;Q12849;GRSF1;0.8409;Oncology_II;B13804;P1;PASS;-4.7682;-4.8307;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20579;Q16698;DECR1;0;Inflammation;B04403;P1;PASS;-4.8436;-3.3592;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30462;Q9NP85;NPHS2;0.0341;Inflammation_II;B13803;P1;PASS;-4.0376;-3.2358;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30669;P40925;MDH1;0;Inflammation_II;B13803;P1;PASS;-4.7978;-3.6112;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20964;O95407;TNFRSF6B;0;Neurology;B04406;P1;PASS;-4.9055;0.5796;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20377;P08174;CD55;0;Cardiometabolic;B04405;P1;PASS;-5.7513;-0.7153;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20308;Q8TDL5;BPIFB1;0;Cardiometabolic;B04405;P1;PASS;-7.2793;1.9836;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20463;Q96DB9;FXYD5;0.3409;Inflammation;B04403;P1;PASS;-4.6921;-3.9369;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20692;P09326;CD48;0;Inflammation;B04403;P1;PASS;-7.4832;-0.3258;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31311;Q6P5Z2;PKN3;0.0114;Oncology_II;B13804;P1;PASS;-4.7422;-4.3532;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30110;Q99707;MTR;0.7841;Cardiometabolic_II;B13805;P1;PASS;-4.0697;-4.217;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20350;P15144;ANPEP;0;Cardiometabolic;B04405;P1;PASS;-5.4466;-1.9835;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20948;Q53H47;SETMAR;0;Neurology;B04406;P1;PASS;-3.9453;1.528;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30979;Q07617;SPAG1;0;Neurology_II;B13806;P1;PASS;-8.1818;-4.8261;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30085;P21817;RYR1;0.0795;Cardiometabolic_II;B13805;P1;PASS;-3.8632;-4.095;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31420;Q6WCQ1;MPRIP;0.0568;Oncology_II;B13804;P1;PASS;-8.4845;-7.3017;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31373;Q6UW88;EPGN;0.1932;Oncology_II;B13804;P1;PASS;-5.4998;-5.1939;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21318;Q49AH0;CDNF;0;Oncology;B04404;P1;PASS;-5.3105;-1.7204;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31290;O60603;TLR2;0.6591;Oncology_II;B13804;P1;PASS;-4.1461;-4.5249;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21061;Q9P126;CLEC1B;0;Neurology;B04406;P1;PASS;-9.8588;-5.4702;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21287;O95831;AIFM1;0.1023;Oncology;B04404;P1;PASS;-4.4981;-4.2821;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30335;P29692;EEF1D;0;Cardiometabolic_II;B13805;P1;PASS;-7.3453;-5.0833;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20706;Q99435;NELL2;0;Inflammation;B04403;P1;PASS;-7.7518;-1.7102;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30809;P43220;GLP1R;0.9205;Neurology_II;B13806;P1;PASS;-1.666;-2.7099;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30146;Q9BZC7;ABCA2;0;Cardiometabolic_II;B13805;P1;PASS;-5.4429;-4.1249;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30088;E2RYF7;HCG22;0.0682;Cardiometabolic_II;B13805;P1;PASS;-3.4645;-2.6947;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20165;Q9NY25;CLEC5A;0;Cardiometabolic;B04405;P1;PASS;-5.9273;-1.2075;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21049;P28908;TNFRSF8;0;Neurology;B04406;P1;PASS;-8.0472;-2.075;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31167;Q86SQ0;PHLDB2;0;Oncology_II;B13804;P1;PASS;-5.5634;-4.6347;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31354;Q9UMX5;NENF;0.6023;Oncology_II;B13804;P1;PASS;-6.37;-6.5567;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31210;O95793;STAU1;0.8295;Oncology_II;B13804;P1;PASS;-2.9037;-3.9673;Plate control;PASS;CONTROL;0.0.0
S02;77;OID21118;P63313;TMSB10;0;Neurology;B04406;P1;PASS;-8.0688;-3.12;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30862;Q8IVU1;IGDCC3;0.0341;Neurology_II;B13806;P1;PASS;-3.3046;-3.0883;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30969;Q2UY09;COL28A1;0;Neurology_II;B13806;P1;PASS;-6.5919;-4.1856;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21045;Q6NW40;RGMB;0;Neurology;B04406;P1;PASS;-7.543;-3.0772;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID31291;Q68DV7;RNF43;0;Oncology_II;B13804;P1;PASS;-4.3993;-2.4251;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30588;Q6QNK2;ADGRD1;0;Inflammation_II;B13803;P1;PASS;-3.3329;1.1246;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30500;Q6B9Z1;IGFL4;0;Inflammation_II;B13803;P1;PASS;-4.3183;-3.0578;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21058;Q6ZMJ2;SCARA5;0;Neurology;B04406;P1;PASS;-9.965;-4.2931;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30344;P52209;PGD;0;Cardiometabolic_II;B13805;P1;PASS;-8.7568;-5.7211;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20661;P49771;FLT3LG;0;Inflammation;B04403;P1;PASS;-6.941;0.0544;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30311;Q8N4F0;BPIFB2;0;Cardiometabolic_II;B13805;P1;PASS;-6.6604;-2.677;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20796;P51531;SMARCA2;0;Neurology;B04406;P1;PASS;-5.0497;-2.6094;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30738;P00746;CFD;0;Inflammation_II;B13803;P1;PASS;-2.4679;-1.3966;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30369;P02730;SLC4A1;0;Cardiometabolic_II;B13805;P1;PASS;-6.5829;-4.0387;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20158;Q9UHD0;IL19;0;Cardiometabolic;B04405;P1;PASS;-5.1515;-0.8434;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20889;Q6UXK2;ISLR2;0;Neurology;B04406;P1;PASS;-4.4501;-2.372;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30708;O14791;APOL1;0;Inflammation_II;B13803;P1;PASS;-6.5714;2.1159;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20709;P29279;CCN2;0;Inflammation;B04403;P1;PASS;-6.7874;-2.4871;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30790;P08603;CFH;0;Inflammation_II;B13803;P1;PASS;-6.0946;0.9282;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20555;P42575;CASP2;0.1136;Inflammation;B04403;P1;PASS;-3.4138;-3.4642;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20391;P12318;FCGR2A;0;Cardiometabolic;B04405;P1;PASS;-7.0333;0.2334;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21448;P80303;NUCB2;0;Oncology;B04404;P1;PASS;-8.0493;-3.7437;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20690;Q9BZZ2;SIGLEC1;0;Inflammation;B04403;P1;PASS;-6.0026;-1.1027;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30746;P05090;APOD;0;Inflammation_II;B13803;P1;WARN;-3.8652;-0.0585;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31474;P14902;IDO1;0;Oncology_II;B13804;P1;PASS;-7.5694;-2.1893;Plate control;PASS;CONTROL;0.0.0
